district,area,production,yield,crop_type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category,yield_calculated,district_encoded,season_encoded,crop_type_encoded
Surat,0.6,1.24398,2073.3,CASTOR,2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time,2.0733,28,0,0
Tapi,1.52,3.151416,2073.3,CASTOR,2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time,2.0733,30,0,0
Kutch,424.25,2098.428547764706,840.8552813671184,TOTAL COTTON (LINT),2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early,4.946207537453638,17,0,2
Banaskantha,333.11,1288.9593476470586,657.8099999999998,TOTAL COTTON (LINT),2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early,3.8694705882352936,4,0,2
Patan,392.96,1265.8172425411767,547.610268811075,TOTAL COTTON (LINT),2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early,3.221236875359265,24,0,2
Mehsana,326.71,1391.137050282353,723.8630545376634,TOTAL COTTON (LINT),2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.35300546448088,70.01092896174863,on_time,early,4.258017967868608,19,0,2
Sabarkantha,640.39,1925.9887464,511.27920000000006,TOTAL COTTON (LINT),2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early,3.007524705882353,27,0,2
Aravalli,376.65,1152.955782,520.3836,TOTAL COTTON (LINT),2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early,3.06108,3,0,2
Gandhinagar,213.14,919.4739238588236,733.3704,TOTAL COTTON (LINT),2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time,4.313943529411765,12,0,2
Devbhumi Dwarka,277.75,734.5971211764706,449.6184,TOTAL COTTON (LINT),2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early,2.644814117647059,11,0,2
Porbandar,105.1,530.5436925882353,858.158208753568,TOTAL COTTON (LINT),2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early,5.047989463256283,25,0,2
Junagadh,495.3,1518.407995764706,521.1576,TOTAL COTTON (LINT),2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early,3.0656329411764704,15,0,2
Gir Somnath,116.71,531.4182518117645,774.0647999999998,TOTAL COTTON (LINT),2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time,4.5533223529411755,13,0,2
Anand,22.05,85.06547576470588,655.8335999999999,TOTAL COTTON (LINT),2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.93060109289617,70.43169398907104,on_time,on_time,3.8578447058823526,2,0,2
Kheda,161.81,536.055441035294,563.1878436190593,TOTAL COTTON (LINT),2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.90819672131148,70.06557377049181,on_time,on_time,3.3128696683474077,16,0,2
Panchmahal,95.22,160.18585665882352,285.9860914933837,TOTAL COTTON (LINT),2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time,1.682271126431669,23,0,2
Mahisagar,122.14,325.6529073882353,453.2585087276895,TOTAL COTTON (LINT),2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time,2.6662265219275856,18,0,2
Dahod,3.33,5.619806047058824,286.8970054054054,TOTAL COTTON (LINT),2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time,1.6876294435612085,9,0,2
Vadodara,650.27,2465.7311742352936,644.6157744014023,TOTAL COTTON (LINT),2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time,3.7918574964788374,31,0,2
Narmada,353.78,901.7380177411763,433.3073181525241,TOTAL COTTON (LINT),2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time,2.548866577367789,21,0,2
Bharuch,515.98,1142.4299264470587,376.39654152486526,TOTAL COTTON (LINT),2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time,2.214097303087443,5,0,2
Surat,28.84,106.15002310588235,625.7109545076283,TOTAL COTTON (LINT),2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time,3.680652673574284,28,0,2
Tapi,19.22,65.5386552,579.6863363163371,TOTAL COTTON (LINT),2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time,3.409919625390218,30,0,2
Kutch,208.67,226.933462,1087.5231801408925,TOTAL BAJRA,2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early,1.0875231801408924,17,0,1
Patan,80.75,185.0545255,2291.6969102167186,TOTAL BAJRA,2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early,2.2916969102167184,24,0,1
Mehsana,138.43,349.4702409,2524.5267709311565,TOTAL BAJRA,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.35300546448088,70.01092896174863,on_time,early,2.5245267709311565,19,0,1
Sabarkantha,14.9,38.9060126,2611.141785234899,TOTAL BAJRA,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early,2.6111417852348993,27,0,1
Aravalli,41.150000000000006,91.8252495,2231.4762940461724,TOTAL BAJRA,2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early,2.231476294046172,3,0,1
Gandhinagar,80.59,215.8955971,2678.937797493485,TOTAL BAJRA,2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time,2.6789377974934854,12,0,1
Ahmedabad,16.46,44.3828134,2696.404216281896,TOTAL BAJRA,2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time,2.6964042162818957,0,0,1
Surendranagar,62.46,71.170662,1139.459846301633,TOTAL BAJRA,2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time,1.139459846301633,29,0,1
Morbi,16.0349,27.059706882000004,1687.5507101385106,TOTAL BAJRA,2016,Morbi,2016-06-13,2016-10-08,7.384615384615385,477.2000000000001,87,32.668306010928966,23.97322404371585,68.90710382513662,on_time,early,1.6875507101385105,20,0,1
